Date,Open_Price,High_Price,Low_Price,Close_Price,Adj_Close_Price,Volume
1/2/13,35,35.450001,34.709999,35.360001,35.360001,1194800
1/3/13,35.18,35.450001,34.75,34.77,34.77,742000
1/4/13,34.799999,34.799999,33.919998,34.400002,34.400002,674000
1/7/13,34.799999,34.799999,33.900002,34.34,34.34,442000
1/8/13,34.5,34.5,33.110001,33.68,33.68,1284000
1/9/13,34.009998,34.189999,33.400002,33.639999,33.639999,698000
1/10/13,33.869999,33.990002,33.380001,33.529999,33.529999,922500
1/11/13,34.040001,34.040001,32.110001,32.91,32.91,1563200
1/14/13,33.080002,33.380001,32.849998,33.259998,33.259998,925100
1/15/13,33.110001,34.25,33.080002,33.900002,33.900002,1624200
1/16/13,33.849998,34.23,33.73,34.099998,34.099998,1378200
1/17/13,34.16,34.849998,33.919998,34.380001,34.380001,1436700
1/18/13,34.740002,34.779999,33.82,34.52,34.52,3555100
1/22/13,34.560001,35.549999,34.259998,35.189999,35.189999,1920200
1/23/13,35.02,36.240002,34.959999,36,36,1564300
1/24/13,36,37.720001,35.84,36.990002,36.990002,1970400
1/25/13,37,37.540001,36.799999,36.98,36.98,1287800
1/28/13,36.860001,38.709999,36.860001,38.029999,38.029999,1986000
1/29/13,38.099998,38.439999,37.130001,37.950001,37.950001,1426600
1/30/13,37.849998,38,37.43,37.52,37.52,968100
1/31/13,37.869999,37.869999,36.93,37.509998,37.509998,901400
2/1/13,38.169998,38.5,37.619999,38.299999,38.299999,1100600
2/4/13,38.400002,38.419998,37.59,37.740002,37.740002,1128000
2/5/13,38,38.650002,37.68,38.130001,38.130001,1310200
2/6/13,38.18,39.389999,37.900002,39.169998,39.169998,1893200
2/7/13,39.189999,39.68,38.950001,39.48,39.48,1196600
2/8/13,39.450001,40,39.139999,39.240002,39.240002,1139800
2/11/13,37.98,39.150002,37.5,38.419998,38.419998,3266300
2/12/13,38.450001,38.869999,37.290001,37.889999,37.889999,2261300
2/13/13,38.299999,39,38.049999,38.450001,38.450001,966800
2/14/13,38.639999,38.75,38.209999,38.27,38.27,990700
2/15/13,38.5,38.509998,36.950001,37.040001,37.040001,2017600
2/19/13,37.360001,39.290001,37.310001,39.279999,39.279999,2701400
2/20/13,39.299999,39.650002,38.459999,38.540001,38.540001,3122000
2/21/13,36.490002,37.389999,34.540001,35.16,35.16,9037800
2/22/13,35.720001,36.389999,35.599998,36.110001,36.110001,2547300
2/25/13,36.150002,36.75,34.34,34.380001,34.380001,2889400
2/26/13,34.459999,34.959999,33.799999,34.43,34.43,2762900
2/27/13,34.41,35.41,34.400002,35.099998,35.099998,1959200
2/28/13,35.889999,36.099998,34.369999,34.830002,34.830002,1964900
3/1/13,35,35.080002,34.25,34.650002,34.650002,1546600
3/4/13,34.77,35.830002,34.700001,35.580002,35.580002,1757700
3/5/13,36,36.919998,35.790001,36.650002,36.650002,2087000
3/6/13,37.009998,37.880001,36.970001,37.689999,37.689999,1150000
3/7/13,37.73,38.650002,36.880001,38.23,38.23,1158300
3/8/13,38.060001,39.439999,37.360001,38.470001,38.470001,912100
3/11/13,38.869999,39.439999,38.650002,39.099998,39.099998,1579500
3/12/13,38.900002,39.380001,38.849998,39.119999,39.119999,1275100
3/13/13,39,39.490002,38.810001,38.98,38.98,822000
3/14/13,38.900002,38.91,36.77,36.849998,36.849998,2021000
3/15/13,36.639999,36.650002,35.209999,35.290001,35.290001,3279600
3/18/13,35.299999,36.060001,34.919998,35.150002,35.150002,1316100
3/19/13,35.25,35.599998,34.939999,35.080002,35.080002,1098500
3/20/13,35.259998,36.07,35.16,35.950001,35.950001,1423000
3/21/13,35.950001,37.060001,35.740002,36.009998,36.009998,1146300
3/22/13,36.200001,36.799999,36.200001,36.619999,36.619999,440200
3/25/13,37.099998,38.52,36.77,37.529999,37.529999,2378800
3/26/13,37.98,38.220001,37.66,37.860001,37.860001,1808200
3/27/13,37.939999,38.380001,37.310001,38.16,38.16,1296300
3/28/13,38.23,38.240002,37.75,37.889999,37.889999,1158700
4/1/13,42.360001,46.68,41.700001,43.93,43.93,14098500
4/2/13,43.599998,45.5,43.509998,44.34,44.34,6652400
4/3/13,43.099998,43.470001,40.209999,41.099998,41.099998,5643600
4/4/13,41.110001,42.25,40.810001,42.009998,42.009998,2264800
4/5/13,42,42,40.5,41.369999,41.369999,1552400
4/8/13,41.970001,42.549999,41.509998,41.830002,41.830002,1679000
4/9/13,41.799999,41.830002,40.330002,40.5,40.5,1696100
4/10/13,40.700001,42.009998,40.610001,41.860001,41.860001,2121100
4/11/13,42.060001,44.549999,41.75,43.59,43.59,3447400
4/12/13,43.25,45.139999,43.049999,43.75,43.75,3149400
4/15/13,43.5,43.799999,42.509998,43.299999,43.299999,1681400
4/16/13,44.189999,46.139999,43.91,45.59,45.59,3180400
4/17/13,45.5,45.950001,44.540001,45.450001,45.450001,2118500
4/18/13,45.98,47.599998,45.389999,46.970001,46.970001,3367900
4/19/13,47.459999,49.880001,47.07,47.830002,47.830002,3011700
4/22/13,48.599998,50.200001,47.75,50.189999,50.189999,3939400
4/23/13,51,52.919998,50.66,51.009998,51.009998,3733800
4/24/13,50.900002,51.049999,48.98,50.43,50.43,2630000
4/25/13,50.5,52.400002,50.5,52,52,2795900
4/26/13,53.130001,53.740002,50.619999,51.200001,51.200001,3622100
4/29/13,51.759998,54.990002,51.200001,54.939999,54.939999,3639700
4/30/13,56,58.18,53.759998,53.990002,53.990002,5522600
5/1/13,55.990002,55.990002,53,53.279999,53.279999,2742800
5/2/13,53.849998,55.27,53.700001,54.110001,54.110001,3050400
5/3/13,56.470001,56.470001,54.5,54.549999,54.549999,3378700
5/6/13,56.389999,59.66,55.5,59.5,59.5,4366700
5/7/13,62,62.369999,55.119999,55.509998,55.509998,9991000
5/8/13,57.5,58.200001,55.709999,55.790001,55.790001,6769900
5/9/13,70.120003,75.769997,63.689999,69.400002,69.400002,28605000
5/10/13,69.650002,81,69.25,76.760002,76.760002,25082600
5/13/13,80.989998,88,79.150002,87.800003,87.800003,22416900
5/14/13,94.220001,97.120003,81.150002,83.239998,83.239998,37163900
5/15/13,81.800003,86.879997,78.110001,84.839996,84.839996,16878700
5/16/13,94.699997,95,88.660004,92.25,92.25,21614000
5/17/13,92.5,94.440002,87.5,91.5,91.5,19002200
5/20/13,91.120003,92.5,88.629997,89.940002,89.940002,8348400
5/21/13,88.5,89.989998,85.279999,87.589996,87.589996,8998200
5/22/13,86.370003,90.959999,85.5,87.239998,87.239998,8568000
5/23/13,84.809998,93.010002,83.050003,92.730003,92.730003,12022200
5/24/13,92.599998,97.949997,92,97.080002,97.080002,16124200
5/28/13,101.550003,110.75,100.300003,110.330002,110.330002,19691900
5/29/13,113.550003,114.900002,99,104.629997,104.629997,25099500
5/30/13,102.459999,109.540001,101.199997,104.949997,104.949997,16133700
5/31/13,106.260002,106.440002,97.730003,97.760002,97.760002,15172000
6/3/13,97.620003,97.620003,88.25,92.589996,92.589996,19139600
6/4/13,92.75,96.419998,92.400002,94.839996,94.839996,8856100
6/5/13,93.660004,97.970001,89.110001,95.370003,95.370003,12224800
6/6/13,95.25,99.269997,95.110001,97.349998,97.349998,9510900
6/7/13,98,102.900002,96.699997,102.040001,102.040001,10711600
6/10/13,98.93,102.519997,98.57,100.050003,100.050003,9228600
6/11/13,98.18,98.68,94.050003,94.470001,94.470001,7394000
6/12/13,96.800003,100.480003,95.75,97.730003,97.730003,9192700
6/13/13,99,99.279999,95.120003,98.18,98.18,5961600
6/14/13,100,102.519997,99.330002,100.300003,100.300003,6564700
6/17/13,103.599998,104.75,101.199997,102.199997,102.199997,7066200
6/18/13,101.75,103.980003,99.199997,103.389999,103.389999,8795300
6/19/13,102.059998,106.669998,102.010002,104.68,104.68,8578900
6/20/13,104.650002,107.129997,99.449997,100.650002,100.650002,10106500
6/21/13,103.699997,103.699997,97.5,99.550003,99.550003,11718600
6/24/13,96.5,102.870003,95.300003,101.489998,101.489998,7119800
6/25/13,103.099998,104.199997,100.550003,102.400002,102.400002,5848700
6/26/13,103.800003,105.870003,102.660004,105.720001,105.720001,6602600
6/27/13,106.75,110.25,106.129997,109.25,109.25,8744900
6/28/13,108.57,109.440002,106.709999,107.360001,107.360001,5748600
7/1/13,109.360001,117.769997,109.150002,117.18,117.18,10903600
7/2/13,118.25,121.889999,115.5,117.82,117.82,12064100
