row ID,Time,Retweet from,User
Row0,9/29/2017 17:39,,elonmusk
Row1,9/29/2017 10:44,SpaceX,elonmusk
Row2,9/29/2017 10:39,,elonmusk
Row3,9/29/2017 9:56,,elonmusk
Row4,9/29/2017 9:19,,elonmusk
Row5,9/29/2017 8:57,SpaceX,elonmusk
Row6,9/29/2017 8:53,,elonmusk
Row7,9/29/2017 6:03,,elonmusk
Row8,9/29/2017 5:44,,elonmusk
Row9,9/29/2017 2:36,,elonmusk
Row10,9/29/2017 2:32,SpaceX,elonmusk
Row11,9/28/2017 22:44,,elonmusk
Row12,9/28/2017 7:53,,elonmusk
Row13,9/28/2017 7:53,mayemusk,elonmusk
Row14,9/27/2017 3:18,,elonmusk
Row15,9/27/2017 3:03,,elonmusk
Row16,9/26/2017 15:04,,elonmusk
Row17,9/26/2017 5:39,,elonmusk
Row18,9/26/2017 3:13,,elonmusk
Row19,9/26/2017 3:11,,elonmusk
Row20,9/25/2017 21:33,,elonmusk
Row21,9/25/2017 13:15,,elonmusk
Row22,9/25/2017 13:12,,elonmusk
Row23,9/24/2017 22:31,,elonmusk
Row24,9/22/2017 2:31,MotorTrend,elonmusk
Row25,9/20/2017 19:25,,elonmusk
Row26,9/19/2017 19:36,,elonmusk
Row27,9/16/2017 9:16,,elonmusk
Row28,9/16/2017 5:16,,elonmusk
Row29,9/16/2017 3:28,,elonmusk
Row30,9/16/2017 3:19,,elonmusk
Row31,9/15/2017 18:33,,elonmusk
Row32,9/14/2017 12:02,,elonmusk
Row33,9/14/2017 12:02,,elonmusk
Row34,9/14/2017 12:00,,elonmusk
Row35,9/14/2017 6:01,,elonmusk
Row36,9/14/2017 2:20,,elonmusk
Row37,9/14/2017 0:02,,elonmusk
Row38,9/13/2017 23:40,FastCompany,elonmusk
Row39,9/12/2017 12:56,Gizmodo,elonmusk
Row40,9/12/2017 8:59,,elonmusk
Row41,9/12/2017 8:29,Tesla,elonmusk
Row42,9/12/2017 3:56,,elonmusk
Row43,9/9/2017 0:54,,elonmusk
Row44,9/8/2017 0:46,SpaceX,elonmusk
Row45,9/7/2017 3:44,Tesla,elonmusk
Row46,9/4/2017 20:54,,elonmusk
Row47,9/4/2017 20:53,,elonmusk
Row48,9/4/2017 13:44,,elonmusk
Row49,9/4/2017 12:47,,elonmusk
Row50,9/4/2017 12:40,,elonmusk
Row51,9/4/2017 12:36,,elonmusk
Row52,9/4/2017 12:33,,elonmusk
Row53,9/4/2017 12:13,,elonmusk
Row54,9/4/2017 12:11,,elonmusk
Row55,8/31/2017 22:05,,elonmusk
Row56,8/31/2017 22:03,,elonmusk
Row57,8/31/2017 8:50,,elonmusk
Row58,8/31/2017 8:35,,elonmusk
Row59,8/31/2017 8:01,,elonmusk
Row60,8/31/2017 1:01,karpathy,elonmusk
Row61,8/30/2017 18:17,,elonmusk
Row62,8/30/2017 18:16,,elonmusk
Row63,8/30/2017 11:29,,elonmusk
Row64,8/30/2017 10:55,,elonmusk
Row65,8/29/2017 11:45,,elonmusk
Row66,8/28/2017 21:48,,elonmusk
Row67,8/28/2017 19:30,,elonmusk
Row68,8/28/2017 11:40,,elonmusk
Row69,8/28/2017 11:39,,elonmusk
Row70,8/28/2017 11:35,,elonmusk
Row71,8/28/2017 11:34,,elonmusk
Row72,8/28/2017 10:59,,elonmusk
Row73,8/28/2017 10:55,,elonmusk
Row74,8/28/2017 8:24,,elonmusk
Row75,8/28/2017 8:12,,elonmusk
Row76,8/28/2017 8:00,,elonmusk
Row77,8/28/2017 6:09,,elonmusk
Row78,8/28/2017 4:48,,elonmusk
Row79,8/28/2017 4:46,,elonmusk
Row80,8/28/2017 4:10,,elonmusk
Row81,8/28/2017 3:53,,elonmusk
Row82,8/28/2017 3:52,,elonmusk
Row83,8/28/2017 3:32,,elonmusk
Row84,8/28/2017 1:12,,elonmusk
Row85,8/28/2017 1:10,,elonmusk
Row86,8/27/2017 23:31,,elonmusk
